AGE,GENDER,HS_TYPE,SCHOLARSHIP,WORK,ACTIVITY,PARTNER,SALARY,TRANSPORT,LIVING,MOTHER_EDU,FATHER_EDU,#_SIBLINGS,KIDS,MOTHER_JOB,FATHER_JOB,STUDY_HRS,READ_FREQ,READ_FREQ_SCI,ATTEND_DEPT,IMPACT,ATTEND,PREP_STUDY,PREP_EXAM,NOTES,LISTENS,LIKES_DISCUSS,CLASSROOM,CUML_GPA,EXP_GPA,COURSE ID,GRADE
2,1,2,3,1,1,1,1,2,1,1,1,5,3,2,4,5,3,3,1,3,1,2,1,1,1,1,1,1,1,8,1
1,1,1,3,1,2,1,2,1,2,1,2,5,1,2,1,3,1,2,1,1,1,1,2,3,2,2,1,3,2,1,1
1,2,2,3,2,1,1,1,1,2,1,1,2,1,2,3,2,3,3,1,1,1,1,1,2,2,3,2,3,3,3,3
2,2,2,4,2,2,2,1,1,2,1,3,4,1,2,4,3,1,1,2,1,1,1,2,3,2,3,1,5,3,3,3
2,2,3,3,1,1,2,3,1,2,3,4,4,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,2,3,2,1
1,1,2,4,2,2,2,3,1,1,2,2,5,1,2,5,5,3,2,2,1,2,1,1,3,1,3,3,3,3,1,1
2,2,3,5,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2,1,3,1,2,1,3,2,3,1,4,3,1,2
3,2,2,3,2,2,1,1,4,2,2,2,4,1,2,1,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1,2
1,2,2,5,1,2,1,1,4,2,3,3,3,2,2,3,4,2,2,2,1,1,1,2,3,1,2,3,4,4,1,1
1,1,1,3,2,2,2,3,2,3,3,4,2,1,3,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1
3,2,3,3,1,2,1,3,1,2,4,2,5,3,2,1,1,2,2,1,1,1,3,3,3,3,3,3,5,4,5,3
1,1,2,4,2,1,2,1,2,3,1,1,2,1,4,3,2,2,2,2,1,1,1,1,2,1,2,1,2,3,9,1
1,2,2,4,1,1,2,1,1,1,2,2,4,1,2,4,2,3,2,1,1,2,1,2,2,1,3,1,3,3,7,3
2,2,2,3,2,2,1,2,2,1,1,1,2,1,2,3,2,2,2,1,1,2,1,1,2,2,2,3,3,3,1,1
2,2,2,3,2,2,2,2,4,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1
